aiw	Aari
kab	Kabyle
kcx	Kachama-Ganjule
xac	Kachari
kfr	Kachhi
gjk	Kachi Koli
kac	Kachin
koe	Kacipo-Balesi
xkk	Kaco'
kzd	Kadai
kej	Kadar
kdu	Kadaru
dtp	Kadazan Dusun
kbc	Kadiwéu
zkd	Kadu
ktp	Kaduo
jka	Kaera
kbr	Kafa
kpu	Kafoa
kll	Kagan Kalagan
syw	Kagate
cgc	Kagayanen
kdm	Kagoma
xkg	Kagoro
kki	Kagulu
hka	Kahe
agw	Kahua
kct	Kaian
kzb	Kaibobo
kzp	Kaidipang
kbw	Kaiep
kep	Kaikadi
kjv	Kaikavian Literary Language
kzq	Kaike
kkq	Kaiku
xai	Kaimbé
zka	Kaimbulawa
kgp	Kaingang
ckr	Kairak
kxa	Kairiru
krd	Kairui-Midiki
kzm	Kais
kce	Kaivi
kgk	Kaiwá
tcq	Kaiy
ckq	Kajakse
xkj	Kajali
kag	Kajaman
kqf	Kakabai
kke	Kakabe
kka	Kakanda
tbd	Kaki Ae
kkj	Kako
keo	Kakwa
mwp	Kala Lagaw Ya
kal	Kalaallisut
lkm	Kalaamaya
kve	Kalabakan
ijn	Kalabari
kzz	Kalabra
kqe	Kalagan
kkf	Kalaktang Monpa
kmh	Kalam
gwc	Kalami
knz	Kalamsé
wkl	Kalanadi
kck	Kalanga
kak	Kalanguya
kly	Kalao
kyl	Kalapuya
kba	Kalarko
kls	Kalasha
kln	Kalenjin
fla	Kalispel-Pend d'Oreille
xka	Kalkoti
ktg	Kalkutung
xal	Kalmyk
rmf	Kalo Finnish Romani
ywa	Kalou
bco	Kaluli
kli	Kalumpang
kdx	Kam
vkm	Kamakan
woi	Kamang
kbq	Kamano
kci	Kamantan
keq	Kamar
jmr	Kamara
kzx	Kamarian
kgx	Kamaru
xas	Kamas
klp	Kamasa
kms	Kamasau
kyk	Kamayo
kay	Kamayurá
kam	Kamba (Kenya)
ktb	Kambaata
kyy	Kambaira
xbr	Kambera
irx	Kamberau
xbw	Kambiwá
kcu	Kami (Tanzania)
kmi	Kami (Nigeria)
kcq	Kamo
kgq	Kamoro
xmu	Kamu
xla	Kamula
xvi	Kamviri
hig	Kamwe
xnb	Kanakanabu
knm	Kanamarí
zkn	Kanan
xns	Kanashi
soq	Kanasi
bjj	Kanauji
kqw	Kandas
gam	Kandawo
kbs	Kande
kbl	Kanembu
kyp	Kang
kcp	Kanga
kkv	Kangean
igm	Kanggape
kxs	Kangjia
kty	Kango (Bas-Uélé District)
kzy	Kango (Tshopo District)
xnr	Kangri
ktk	Kaniet
kev	Kanikkaran
kdp	Kaningdon-Nindem
kzo	Kaningi
knr	Kaningra
wat	Kaninuwa
kmu	Kanite
kft	Kanjari
kbe	Kanju
kne	Kankanaey
kan	Kannada
kfi	Kannada Kurumba
kxo	Kanoé
kxn	Kanowit-Tanjong Melanau
ksk	Kansa
xkt	Kantosi
khx	Kanu
kni	Kanufi
kau	Kanuri
kny	Kanyok
kax	Kao
kqn	Kaonde
ykm	Kap
tbx	Kapin
xpn	Kapinawá
kpg	Kapingamarangi
khp	Kapori
dju	Kapriman
kbi	Kaptiau
klo	Kapya
cak	Kaqchikel
kah	Kara (Central African Republic)
leu	Kara (Papua New Guinea)
reg	Kara (Tanzania)
zra	Kara (Korea)
krc	Karachay-Balkar
gbd	Karadjeri
kim	Karagas
kdr	Karaim
kpj	Karajá
kaa	Kara-Kalpak
xqa	Karakhanid
xar	Karami
kdj	Karamojong
kzr	Karang
kth	Karanga
zkk	Karankawa
kyj	Karao
kgv	Karas
kpt	Karata
xrw	Karawa
mjw	Karbi
kbn	Kare (Central African Republic)
kmf	Kare (Papua New Guinea)
kai	Karekare
krl	Karelian
eaa	Karenggapa
kyd	Karey
kbj	Kari
kgn	Karingani
kuq	Karipuna
kgm	Karipúna
kmv	Karipúna Creole French
kzw	Karirí-Xocó
ktn	Karitiâna
kil	Kariya
vka	Kariyarra
yuj	Karkar-Yuri
krb	Karkin
kko	Karko
bbv	Karnai
arr	Karo (Brazil)
kxh	Karo (Ethiopia)
kyh	Karok
kgw	Karon Dori
krx	Karon
xkx	Karore
xrq	Karranga
rxw	Karuwali
ccj	Kasanga
xsm	Kasem
kju	Kashaya
kas	Kashmiri
csb	Kashubian
ksn	Kasiguranin
kkz	Kaska
zsk	Kaskean
khs	Kasua
ktq	Katabaga
xat	Katawixi
tmb	Katbol
xtc	Katcha-Kadugli-Miri
kmg	Kâte
tkt	Kathoriya Tharu
ykt	Kathu
bsh	Kati
kfu	Katkari
kcr	Katla
ktw	Kato
kaf	Katso
kta	Katua
kav	Katukína
pss	Kaulong
vkk	Kaur
bpp	Kaure
zku	Kaurna
xau	Kauwera
ckv	Kavalan
krv	Kavet
kcb	Kawacha
xaw	Kawaiisu
kgb	Kawe
kaw	Kawi
ktx	Kaxararí
kbb	Kaxuiâna
kyz	Kayabí
kyt	Kayagar
pdu	Kayan
xay	Kayan Mahakam
xkn	Kayan River Kayan
txu	Kayapó
gyd	Kayardild
kvl	Kayaw
kzl	Kayeli
kxy	Kayong
kyv	Kayort
gbb	Kaytetye
kzu	Kayupulau
kaz	Kazakh
kzk	Kazukuru
keh	Keak
khz	Keapara
meo	Kedah Malay
ksx	Kedang
kdy	Keder
khh	Kehu
kei	Kei
kec	Keiga
bmh	Kein
eyo	Keiyo
kek	Kekchí
kcl	Kela (Papua New Guinea)
kel	Kela (Democratic Republic of Congo)
kzi	Kelabit
khy	Kele (Democratic Republic of Congo)
sbc	Kele (Papua New Guinea)
keb	Kélé
bzx	Kɛlɛngaxo Bozo
ify	Keley-I Kallahan
kbo	Keliko
xel	Kelo
kyo	Kelon
kem	Kemak
xem	Kembayan
bzp	Kemberano
xkw	Kembra
dmo	Kemedzung
sjk	Kemi Sami
kfj	Kemiehua
kmt	Kemtuik
xbn	Kenaboi
gat	Kenati
knx	Kendayan
klf	Kendeje
kvm	Kendem
kyq	Kenga
kxi	Keningau Murut
knl	Keninjal
kns	Kensiu
ndb	Kenswei Nsei
xki	Kenyan Sign Language
ken	Kenyang
lke	Kenyi
xnz	Kenzi
xxk	Ke'o
xeu	Keoru-Ahia
kpn	Kepkiriwát
kuk	Kepo'
ker	Kera
hhr	Kerak
xke	Kereho
krk	Kerek
ked	Kerewe
kxz	Kerewo
kvr	Kerinci
xes	Kesawai
ket	Ket
kae	Ketangalan
kcv	Kete
xte	Ketengban
ktt	Ketum
kyg	Keyagana
xkv	Kgalagadi
kjh	Khakas
kjf	Khalaj
klr	Khaling
kbg	Khamba
khg	Khams Tibetan
kht	Khamti
ksu	Khamyang
ogo	Khana
khn	Khandesi
kjm	Kháng
kca	Khanty
xao	Khao
kfw	Kharam Naga
khr	Kharia
ksy	Kharia Thar
kha	Khasi
lko	Khayo
zkz	Khazar
kqg	Khe
tlx	Khehek
xkf	Khengkha
xhe	Khetrani
nkh	Khezha Naga
kix	Khiamniungan Naga
kjj	Khinalugh
kwx	Khirwar
kqm	Khisa
llo	Khlor
ykl	Khlula
kjg	Khmu
naq	Khoekhoe
nkb	Khoibu Naga
xkc	Kho'ini
ktc	Kholok
kmz	Khorasani Turkish
zkh	Khorezmian
kho	Khotanese
khw	Khowar
xhv	Khua
khf	Khuen
cnk	Khumi Chin
kkh	Khün
kfm	Khunsari
khv	Khvarshi
blv	Kibala
kie	Kibet
prm	Kibiri
quc	K'iche'
kic	Kickapoo
kzg	Kikai
kik	Kikuyu
sjd	Kildin Sami
kij	Kilivila
klb	Kiliwa
kih	Kilmeri
kia	Kim
mji	Kim Mun
kig	Kimaama
kqr	Kimaragang
kiv	Kimbu
kmb	Kimbundu
sbt	Kimki
kqp	Kimré
cbw	Kinabalian
kco	Kinalakna
mkx	Kinamiging Manobo
krj	Kinaray-A
zga	Kinga
kfk	Kinnauri
knq	Kintaq
kkd	Kinuku
kin	Kinyarwanda
ues	Kioko
kkm	Kiong
xko	Kiorr
apk	Kiowa Apache
kio	Kiowa
sgc	Kipsigis
kyi	Kiput
kkr	Kir-Balar
geb	Kire
kir	Kirghiz
okr	Kirike
kiy	Kirikiri
kiu	Kirmanjki (individual language)
fkk	Kirya-Konzəl
kis	Kis
lks	Kisa
xis	Kisan
kqh	Kisankasa
kje	Kisar
kiz	Kisi
gru	Kistane
mwk	Kita Maninkakan
zkt	Kitan
gia	Kitja
kii	Kitsai
ktu	Kituba (Democratic Republic of Congo)
mkw	Kituba (Congo)
wei	Kiunum
lda	Kla-Dan
kla	Klamath-Modoc
klu	Klao
kqt	Klias River Kadazan
tlh	Klingon
czk	Knaanic
fuj	Ko
kib	Koalib
cku	Koasati
kpd	Koba
kcj	Kobiana
kgu	Kobol
kpw	Kobon
kdq	Koch
thq	Kochila Tharu
cdz	Koda
ksz	Kodaku
kfa	Kodava
vko	Kodeoha
kod	Kodi
kwp	Kodia
kcs	Koenoem
kso	Kofa
kpi	Kofei
kwl	Kofyar
zkg	Koguryo
kkx	Kohin
plk	Kohistani Shina
kpm	Koho
bcs	Kohumono
kkt	Koi
zkb	Koibal
nkd	Koireng
kqi	Koitabu
kxt	Koiwat
trp	Kok Borok
ktd	Kokata
kou	Koke
nxk	Koki Naga
gko	Kok-Nar
okg	Koko Babangk
xod	Kokoda
kzn	Kokola
kkk	Kokota
biw	Kol (Cameroon)
ekl	Kol (Bangladesh)
kol	Kol (Papua New Guinea)
kvv	Kola
klc	Kolbila
skn	Kolibugan Subanon
ksh	Kölsch
klx	Koluwawa
bkm	Kom (Cameroon)
kmm	Kom (India)
kmy	Koma
kpf	Komba
tyn	Kombai
xbi	Kombio
kge	Komering
kom	Komi
xoi	Kominimung
koi	Komi-Permyak
kpv	Komi-Zyrian
kmw	Komo (Democratic Republic of Congo)
xom	Komo (Sudan)
kvh	Komodo
kvp	Kompane
kzv	Komyandaret
kkn	Kon Keu
kxw	Konai
knd	Konda
kfc	Konda-Dora
kdw	Koneraw
kon	Kongo
knn	Konkani (individual language)
kok	Konkani (macrolanguage)
xon	Konkomba
kma	Konni
klk	Kono (Nigeria)
kno	Kono (Sierra Leone)
knu	Kono (Guinea)
koa	Konomala
kcz	Konongo
kxc	Konso
nbe	Konyak Naga
mku	Konyanka Maninka
koo	Konzo
kng	Koongo
ozm	Koonzime
kqy	Koorete
xop	Kopar
opk	Kopkaka
kpr	Korafe-Yegha
koz	Korak
kqz	Korana
kcy	Korandje
kor	Korean
kvk	Korean Sign Language
coe	Koreguaje
okh	Koresh-e Rostam
kfq	Korku
vkp	Korlai Creole Portuguese
bqv	Koro Wachi
jkr	Koro (India)
kfo	Koro (Côte d'Ivoire)
krf	Koro (Vanuatu)
kxr	Koro (Papua New Guinea)
kfz	Koromfé
kqj	Koromira
bpr	Koronadal Blaan
xkq	Koroni
krp	Korop
xxr	Koropó
ktl	Koroshi
khe	Korowai
kfd	Korra Koraga
xor	Korubo
kpq	Korupun-Sela
kfp	Korwa
kpy	Koryak
kiq	Kosadle
kkl	Kosarek Yale
kze	Kosena
kid	Koshin
kos	Kosraean
grm	Kota Marudu Talantang
kfe	Kota (India)
koq	Kota (Gabon)
mqg	Kota Bangun Kutai Malay
kqk	Kotafon Gbe
avk	Kotava
eko	Koti
zko	Kott
kyf	Kouya
kqb	Kovai
kvc	Kove
xow	Kowaki
kwh	Kowiai
kqd	Koy Sanjaq Surat
kff	Koya
kga	Koyaga
koh	Koyo
khq	Koyra Chiini Songhay
ses	Koyraboro Senni Songhai
koy	Koyukon
kuw	Kpagua
kpl	Kpala
kpk	Kpan
pbn	Kpasam
koc	Kpati
kym	Kpatili
cpo	Kpeego
kpe	Kpelle
kef	Kpessi
kph	Kplang
kye	Krache
xra	Krahô
rka	Kraol
kqq	Krenak
zkv	Krevinian
xre	Kreye
ngt	Kriang
xri	Krikati-Timbira
kri	Krio
rop	Kriol
ksi	Krisa
kxb	Krobu
kgo	Krongo
krr	Krung
jct	Krymchak
kry	Kryts
tyu	Kua
yku	Kuamasi
uan	Kuan
xnh	Kuanhua
ykn	Kua-nsi
ksd	Kuanua
kua	Kuanyama
kgf	Kube
kof	Kubi
jko	Kubo
kvb	Kubu
lkc	Kucong
kfg	Kudiya
kyw	Kudmali
kov	Kudu-Camo
kow	Kugama
kes	Kugbo
kvd	Kui (Indonesia)
kxu	Kui (India)
dkr	Kuijau
kui	Kuikúro-Kalapálo
vkj	Kujarge
kfn	Kuk
kux	Kukatja
ght	Kuke
kez	Kukele
kex	Kukna
xmq	Kuku-Mangk
xmp	Kuku-Mu'inh
xmh	Kuku-Muminh
ugb	Kuku-Ugbanh
uwa	Kuku-Uwanh
gvn	Kuku-Yalanji
tpg	Kula
kul	Kulere
kxj	Kulfa
xpk	Kulina Pano
vkl	Kulisusu
kfx	Kullu Pahari
uun	Kulon-Pazeh
bbu	Kulung (Nigeria)
kle	Kulung (Nepal)
ksl	Kumalu
kdi	Kumam
kue	Kuman (Papua New Guinea)
qwm	Kuman (Russia)
kfy	Kumaoni
kmj	Kumarbhag Paharia
ksm	Kumba
kgs	Kumbainggar
wkb	Kumbaran
xks	Kumbewaha
kra	Kumhali
dih	Kumiai
kuo	Kumukio
kum	Kumyk
zum	Kumzari
kun	Kunama
wlg	Kunbarlang
kdn	Kunda
shd	Kundal Shahi
wku	Kunduvadi
kfl	Kung
ggk	Kungarakany
gdt	Kungardutyi
knw	Kung-Ekoka
kgl	Kunggari
lku	Kungkari
kse	Kuni
kvg	Kuni-Boazi
xug	Kunigami
kup	Kunimaipa
pep	Kunja
kjn	Kunjen
njx	Kunyi
kuz	Kunza
xuo	Kuo
kto	Kuot
kug	Kupa
mkn	Kupang Malay
key	Kupia
kpz	Kupsabiny
kuv	Kur
nqk	Kura Ede Nago
krh	Kurama
knk	Kuranko
kur	Kurdish
nbn	Kuri
kuj	Kuria
kfh	Kurichiya
kfv	Kurmukar
unn	Kurnai
vku	Kurrama
ktm	Kurti
xkz	Kurtokha
kyr	Kuruáya
kjr	Kurudu
kru	Kurukh
kus	Kusaal
ksg	Kusaghe
kuh	Kushi
ksv	Kusu
kgg	Kusunda
kut	Kutenai
kub	Kutep
xut	Kuthant
skm	Kutong
kpa	Kutto
kdc	Kutu
khj	Kuturmi
kuy	Kuuku-Ya'u
uky	Kuuk-Yak
olu	Kuvale
kxv	Kuvi
blh	Kuwaa
cwt	Kuwaataay
kdt	Kuy
fkv	Kven Finnish
kwb	Kwa
bko	Kwa'
ksq	Kwaami
kwz	Kwadi
wka	Kw'adza
kwd	Kwaio
kdz	Kwaja
kwk	Kwakiutl
kwu	Kwakum
qwt	Kwalhioqua-Tlatskanai
kmq	Kwama
kwm	Kwambi
tnk	Kwamera
ktf	Kwami
okk	Kwamtim One
xdo	Kwandu
kvi	Kwang
kwj	Kwanga
kwn	Kwangali
knp	Kwanja
kwf	Kwara'ae
nmg	Kwasio
kya	Kwaya
xwa	Kwaza
xwg	Kwegu
kwr	Kwer
kwe	Kwerba
xwr	Kwerba Mamberamo
cwe	Kwere
kkb	Kwerisa
kws	Kwese
kwt	Kwesten
gww	Kwini
kuc	Kwinsu
kww	Kwinti
kmo	Kwoma
kwo	Kwomtari
xuu	Kxoe
bka	Kyak
kyc	Kyaka
tye	Kyanga
nqq	Kyan-Karyaw Naga
kql	Kyenele
kgy	Kyerung
bwj	Láá Láá Bwamu
ldn	Láadan
gdm	Laal
ldi	Laari
lau	Laba
lbb	Label
lbi	La'bi
jku	Labir
mwi	Labo
ypb	Labo Phowa
lbu	Labu
dtb	Labuk-Kinabatangan Kadazan
lac	Lacandon
lbt	Lachi
zpa	Lachiguiri Zapotec
zpl	Lachixío Zapotec
lbj	Ladakhi
lld	Ladin
lad	Ladino
llj	Ladji Ladji
lkl	Laeko-Libuat
laf	Lafofa
lgb	Laghu
lgh	Laghuu
kot	Lagwan
lha	Laha (Viet Nam)
lhh	Laha (Indonesia)
lhn	Lahanan
lah	Lahnda
kvt	Lahta Karen
lhi	Lahu Shi
lhu	Lahu
lhl	Lahul Lohar
lmx	Laimbue
clj	Laitu Chin
lji	Laiyolo
lbe	Lak
lak	Laka (Nigeria)
lap	Laka (Chad)
lka	Lakalei
lmw	Lake Miwok
lkh	Lakha
lki	Laki
lbc	Lakkia
lkn	Lakon
lkd	Lakondê
dic	Lakota Dida
lkt	Lakota
nrz	Lala
leb	Lala-Bisa
cnl	Lalana Chinantec
lla	Lala-Roba
lal	Lalia
las	Lama (Togo)
lay	Lama Bai
slp	Lamaholot
lmr	Lamalera
hia	Lamang
lmq	Lamatuka
lam	Lamba
lmn	Lambadi
quf	Lambayeque Quechua
lmh	Lambichhong
lmy	Lamboya
lai	Lambya
bma	Lame
lmu	Lamenu
lbn	Lamet
ldh	Lamja-Dengsa-Tola
lmk	Lamkang
lev	Lamma
lns	Lamnso'
lmg	Lamogai
abl	Lampung Nyo
ljp	Lampung Api
llh	Lamu
lby	Lamu-Lamu
ruu	Lanas Lobu
ldm	Landoma
lnm	Langam
lna	Langbashe
yne	Lang'e
lag	Langi
yln	Langnian Buyang
laj	Lango (Uganda)
lno	Lango (Sudan)
lng	Langobardic
sfb	Langue des signes de Belgique Francophone
lnw	Lanima
lnh	Lanoh
lao	Lao
nlq	Lao Naga
lwm	Laomian
lbg	Laopang
lso	Laos Sign Language
ztl	Lapaguía-Guivini Zapotec
lrg	Laragia
lrt	Larantuka Malay
lbz	Lardil
lrv	Larevat
hmd	Large Flowery Miao
lrl	Lari
alo	Larike-Wakasihu
lro	Laro
lar	Larteh
lan	Laru
llm	Lasalimu
lsa	Lasgerdi
lsi	Lashi
lss	Lasi
ltc	Late Middle Chinese
ltg	Latgalian
lat	Latin
ltu	Latu
ltn	Latundê
lav	Latvian
lsl	Latvian Sign Language
llu	Lau
luf	Laua
llx	Lauan
law	Lauje
lur	Laura
lre	Laurentian
clt	Lautu Chin
lbv	Lavatbura-Lamusong
brb	Lave
lbo	Laven
lvk	Lavukaleve
lbx	Lawangan
lwu	Lawu
tgi	Lawunuia
lya	Layakha
lzz	Laz
cle	Lealao Chinantec
lec	Leco
lew	Ledo Kaili
ldk	Leelau
lfa	Lefa
lgm	Lega-Mwenga
lea	Lega-Shabunda
agb	Legbo
lcc	Legenyem
tql	Lehali
urr	Lehalurup
cae	Lehar
lzn	Leinong Naga
lek	Leipon
llk	Lelak
lel	Lele (Democratic Republic of Congo)
llc	Lele (Guinea)
lle	Lele (Papua New Guinea)
lln	Lele (Chad)
lef	Lelemi
lpa	Lelepa
leq	Lembena
lrz	Lemerig
lei	Lemio
xle	Lemnian
ley	Lemolang
ldj	Lemoro
tnl	Lenakel
len	Lenca
led	Lendu
lgi	Lengilu
lgr	Lengo
lej	Lengola
lnj	Leningitij
leh	Lenje
ler	Lenkau
ldg	Lenyima
lep	Lepcha
lpe	Lepki
xlp	Lepontic
gnh	Lere
les	Lese
let	Lesing-Gelimi
nms	Letemboi
leo	Leti (Cameroon)
lti	Leti (Indonesia)
lvu	Levuka
lwe	Lewo Eleng
lww	Lewo
lwt	Lewotobi
ayi	Leyigha
lez	Lezghian
lhp	Lhokpu
lhm	Lhomi
lix	Liabuku
ste	Liana-Seti
njn	Liangmai Naga
zln	Lianshan Zhuang
xpe	Liberia Kpelle
lir	Liberian English
liq	Libido
liz	Libinza
lbl	Libon Bikol
xli	Liburnian
ayl	Libyan Arabic
lbs	Libyan Sign Language
lig	Ligbi
lgz	Ligenza
lij	Ligurian
xlg	Ligurian (Ancient)
lih	Lihir
mgi	Lijili
lik	Lika
lio	Liki
lie	Likila
kxx	Likuba
lib	Likum
kwc	Likwala
lll	Lilau
lil	Lillooet
bme	Limassa
lif	Limbu
lmp	Limbum
lim	Limburgan
ylm	Limi
lmc	Limilngan
kmk	Limos Kalinga
lab	Linear A
lin	Lingala
onb	Lingao
lgk	Lingarak
lfn	Lingua Franca Nova
pml	Lingua Franca
ljl	Li'o
apl	Lipan Apache
lpo	Lipo
lcs	Lisabata-Nuniali
lcl	Lisela
lsh	Lish
trg	Lishán Didán
lsd	Lishana Deni
aij	Lishanid Noshan
lis	Lisu
lzh	Literary Chinese
lit	Lithuanian
lls	Lithuanian Sign Language
lzl	Litzlitz
zlj	Liujiang Zhuang
zlq	Liuqian Zhuang
liv	Liv
olo	Livvi
lrk	Loarki
loq	Lobala
lob	Lobi
lbm	Lodhi
lgq	Logba
log	Logo
lof	Logol
rag	Logooli
liu	Logorik
src	Logudorese Sardinian
lbr	Lohorung
qvj	Loja Highland Quichua
jbo	Lojban
yaz	Lokaa
loy	Loke
lok	Loko
lky	Lokoya
lcd	Lola
llq	Lolak
llg	Lole
llb	Lolo
loa	Loloda
ycl	Lolopo
loi	Loma (Côte d'Ivoire)
lom	Loma (Liberia)
lmv	Lomaiviti
rmi	Lomavren
lmo	Lombard
lmi	Lombi
loo	Lombo
ngl	Lomwe
lce	Loncong
lpn	Long Phuri Naga
ttw	Long Wat
lgu	Longgu
wok	Longto
lnu	Longuda
los	Loniu
crc	Lonwolwol
lnz	Lonzo
ldo	Loo
lop	Lopa
lov	Lopi
lpx	Lopit
lrn	Lorang
lnn	Lorediakarkar
spq	Loreto-Ucayali Spanish
uvl	Lote
njh	Lotha Naga
lht	Lo-Toga
dtr	Lotud
loj	Lou
lou	Louisiana Creole
lox	Loun
xlb	Loup B
xlo	Loup A
nds	Low German
axl	Lower Southern Aranda
cea	Lower Chehalis
dni	Lower Grand Valley Dani
dsb	Lower Sorbian
sli	Lower Silesian
taa	Lower Tanana
tto	Lower Ta'oih
xbb	Lower Burdekin
clo	Lowland Oaxaca Chontal
tac	Lowland Tarahumara
ztp	Loxicha Zapotec
loz	Lozi
khb	Lü
lex	Luang
lub	Luba-Katanga
lua	Luba-Lulua
kcc	Lubila
lcf	Lubu
knb	Lubuagan Kalinga
lch	Luchazi
luq	Lucumi
lud	Ludian
ldq	Lufu
lgg	Lugbara
ruf	Luguru
lcq	Luhu
lba	Lui
lum	Luimbi
lui	Luiseno
dop	Lukpa
smj	Lule Sami
ule	Lule
luu	Lumba-Yakkha
lmz	Lumbee
lup	Lumbu
lmd	Lumun
luj	Luna
luk	Lunanakha
lun	Lunda
lnd	Lundayeh
vmg	Lungalunga
lga	Lungga
luo	Luo (Kenya and Tanzania)
luw	Luo (Cameroon)
hml	Luopohe Hmong
ldd	Luri
lse	Lusengo
lus	Lushai
lut	Lushootseed
khl	Lusi
xls	Lusitanian
ndy	Lutos
lue	Luvale
luv	Luwati
lwo	Luwo
ltz	Luxembourgish
lyn	Luyana
luy	Luyia
lwa	Lwalu
xlc	Lycian
xld	Lydian
lee	Lyélé
lyg	Lyngngam
lsg	Lyons Sign Language
mjn	Ma (Papua New Guinea)
msj	Ma (Democratic Republic of Congo)
skc	Ma Manda
cma	Maa
mew	Maaka
mhy	Ma'anyan
ffm	Maasina Fulfulde
ymm	Maay
mde	Maba (Chad)
mqa	Maba (Indonesia)
mmz	Mabaale
mfz	Mabaan
kkg	Mabaka Valley Kalinga
muj	Mabire
mca	Maca
mcl	Macaguaje
mbn	Macaguán
mzs	Macanese
mkd	Macedonian
rup	Macedo-Romanian
jmc	Machame
mcb	Machiguenga
mpd	Machinere
mvw	Machinga
wpc	Maco
myy	Macuna
mbc	Macushi
mda	Mada (Nigeria)
mxu	Mada (Cameroon)
mzc	Madagascar Sign Language
mmx	Madak
xmx	Maden
dmd	Madhi Madhi
grg	Madi
mhi	Ma'di
zml	Madngele
mad	Madurese
mme	Mae
hmk	Maek
itt	Maeng Itneg
maf	Mafa
mkv	Mafea
mag	Magahi
sgb	Mag-antsi Ayta
ayt	Magbukun Ayta
xtm	Magdalena Peñasco Mixtec
gmd	Mághdì
blx	Mag-Indi Ayta
gmx	Magoma
zgr	Magori
mdh	Maguindanaon
gmg	Magɨyi
mjx	Mahali
pmh	Māhārāṣṭri Prākrit
bfz	Mahasu Pahari
mjy	Mahican
mhb	Mahongwe
mxx	Mahou
ayz	Mai Brat
sks	Maia
mzz	Maiadomu
tnh	Maiani
mmm	Maii
mgu	Mailu
cwb	Maindo
vmf	Mainfränkisch
xkl	Mainstream Kenyah
zrs	Mairasi
mbq	Maisin
mai	Maithili
mti	Maiwa (Papua New Guinea)
wmm	Maiwa (Indonesia)
mum	Maiwala
mpe	Majang
xmj	Majera
mjz	Majhi
mmj	Majhwar
kmd	Majukayang Kalinga
mkg	Mak (China)
pbl	Mak (Nigeria)
mcp	Makaa
myh	Makah
mjb	Makalero
mkz	Makasae
mak	Makasar
mfp	Makassar Malay
aup	Makayam
vmw	Makhuwa
xmc	Makhuwa-Marrevone
mgh	Makhuwa-Meetto
mhm	Makhuwa-Moniga
xsq	Makhuwa-Saka
vmk	Makhuwa-Shirima
mgf	Maklew
zmh	Makolkol
kde	Makonde
xak	Máku
lva	Maku'a
mpu	Makuráp
jmn	Makuri Naga
ymk	Makwe
umn	Makyan Naga
mkb	Mal Paharia
mlf	Mal
ima	Mala Malasar
ped	Mala (Papua New Guinea)
ruy	Mala (Nigeria)
ccm	Malaccan Creole Malay
mcm	Malaccan Creole Portuguese
mlg	Malagasy
mmt	Malalamai
mln	Malango
mjo	Malankuravan
mjp	Malapandaram
mjq	Malaryan
mkr	Malas
ymr	Malasar
mjr	Malavedan
lon	Malawi Lomwe
swk	Malawi Sena
msa	Malay (macrolanguage)
zlm	Malay (individual language)
mal	Malayalam
xdy	Malayic Dayak
mlz	Malaynon
mbp	Malayo
xml	Malaysian Sign Language
bfo	Malba Birifor
mdc	Male (Papua New Guinea)
mdy	Male (Ethiopia)
pqm	Malecite-Passamaquoddy
gut	Maléku Jaíka
pkt	Maleng
mgl	Maleu-Kilenge
mlx	Malfaxal
vml	Malgana
mxf	Malgbe
gcc	Mali
mgq	Malila
mzd	Malimba
mli	Malimpung
tcf	Malinaltepec Me'phaa
mla	Malo
mbk	Malol
mdl	Maltese Sign Language
mlt	Maltese
mll	Malua Bay
mup	Malvi
yga	Malyangapa
mam	Mam
mma	Mama
mhf	Mamaa
wmd	Mamaindé
mmn	Mamanwa
myk	Mamara Senoufo
mqj	Mamasa
mgm	Mambae
mcs	Mambai
mvd	Mamboru
mgr	Mambwe-Lungu
maw	Mampruli
mqx	Mamuju
emm	Mamulique
kdf	Mamusi
mdi	Mamvu
mml	Man Met
xmm	Manado Malay
mva	Manam
mle	Manambu
nmm	Manangba
znk	Manangkari
mnc	Manchu
mgs	Manda (Tanzania)
mha	Manda (India)
zma	Manda (Australia)
mht	Mandahuaca
mid	Mandaic
mhq	Mandan
zmk	Mandandanyi
mdr	Mandar
tbf	Mandara
mqu	Mandari
cmn	Mandarin Chinese
mry	Mandaya
mjl	Mandeali
mqr	Mander
man	Mandingo
mnk	Mandinka
mfv	Mandjak
aax	Mandobo Atas
bwp	Mandobo Bawah
jet	Manem
zng	Mang
kby	Manga Kanuri
mem	Mangala
mpc	Mangarayi
mrv	Mangareva
zns	Mangas
myj	Mangayat
mdj	Mangbetu
mdk	Mangbutu
zme	Mangerr
mmo	Mangga Buang
mqy	Manggarai
mge	Mango
mqc	Mangole
mbh	Mangseng
mom	Mangue
xmn	Manichaean Middle Persian
abd	Manide
mnx	Manikion
mqp	Manipa
mni	Manipuri
knf	Mankanya
mju	Manna-Dora
mjv	Mannan
mev	Mano
woo	Manombai
msk	Mansaka
mns	Mansi
msw	Mansoanka
myg	Manta
nty	Mantsi
kxf	Manumanaw Karen
glv	Manx
mzj	Manya
mny	Manyawa
mxc	Manyika
mzv	Manza
nbi	Mao Naga
mmd	Maonan
swb	Maore Comorian
mri	Maori
mlh	Mape
mnm	Mapena
mpy	Mapia
mpw	Mapidian
bzh	Mapos Buang
mcg	Mapoyo
arn	Mapudungun
sjm	Mapun
mch	Maquiritari
mec	Mara
mrh	Mara Chin
lri	Marachi
vmh	Maraghei
mrs	Maragus
nma	Maram Naga
